,id,name,market_cap,price_change_percentage_24h,twitter_followers,circ_perc,clusters
115,omisego,OMG Network,840773415.0,15.2063,6775,100.0,1
116,compound-usdt,cUSDT,829273003.0,0.16743,212788,100.0,1
117,bancor,Bancor Network Token,820023625.0,2.64787,143185,100.0,1
118,decred,Decred,812640888.0,9.64067,51035,65.09205125487762,1
119,convex-crv,Convex CRV,811632266.0,7.28761,32316,100.0,1
120,liquity-usd,Liquity USD,810241711.0,-0.13508,24663,100.0,1
121,link,LINK,806701694.0,2.14232,3531,98.8431865155718,1
122,qtum,Qtum,796291935.0,5.56972,271848,96.45319406061111,1
123,bitclout,Decentralized Social,794129516.0,0.00607,14429,97.44424307773146,1
124,tomb-shares,Tomb Shares,793174495.0,62.54029,0,59.65907399171005,3
125,apenft,APENFT,775562457.0,6.146,229930,27.708333333333336,0
126,wax,WAX,771733584.0,2.74097,237627,50.49815896679657,0
127,kava,Kava,766498439.0,12.27576,146263,93.66423719440463,1
128,renbtc,renBTC,765227034.0,2.03647,111449,100.0,1
129,ankr,Ankr,758108142.0,5.56692,156564,81.62899377791668,1
130,velas,Velas,753451303.0,8.3877,105181,100.0,1
131,audius,Audius,753107210.0,10.63273,123548,48.1389382564362,0
132,nxm,Nexus Mutual,749778687.0,4.63892,38346,100.0,1
133,gnosis,Gnosis,741542838.0,-0.87497,109534,18.65027001263696,0
134,fei-usd,Fei USD,739840074.0,0.49274,34622,99.92518995160431,1
135,icon,ICON,708115493.0,6.18571,160220,86.68125349729729,1
136,dogelon-mars,Dogelon Mars,700227412.0,5.24222,345496,55.53445715580717,0
137,zencash,Horizen,693297576.0,3.84674,132188,56.89047619047619,0
138,iostoken,IOST,690750479.0,7.41358,271662,100.0,1
139,siacoin,Siacoin,683330554.0,4.80299,146501,100.0,1
140,immutable-x,Immutable X,675821730.0,4.62176,182631,9.4080384,0
141,moonbeam,Moonbeam,672649837.0,-14.9174,0,7.466942867949293,0
142,syscoin,Syscoin,657973531.0,2.77846,121414,70.66305097248592,1
143,rally-2,Rally,651601834.0,5.31901,34329,15.05204608282558,0
